/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-08.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
  24264-  24666 SGRA         AP-H201-F102    18649        1 [    83.479851,   318.076992 ] [   193.814959,   257.032470 ]         75.8          0.6        0
  24679-  24828 SGRA         AP-H201-F102    18649        1 [    87.537745,   312.887676 ] [   265.822924,   284.055431 ]         76.6          0.0        0
  24829-  24829 SGRA         AP-H201-F102    18649        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.0        0
  24830-  24830 SGRA         AP-H201-F102    18649        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.0        0
  24831-  24831 SGRA         AP-H201-F102    18649        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.0        0
  24832-  24832 SGRA         AP-H201-F102    18649        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.0        0
  24833-  24833 SGRA         AP-H201-F102    18649        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.0        0
  24834-  24834 SGRA         AP-H201-F102    18649        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.0        0
  24882-  25281 SGRA         AP-H201-F102    18661        1 [    81.992974,   317.210386 ] [    49.737586,   113.065731 ]         90.3        179.2        0
  25294-  25693 SGRA         AP-H201-F102    18661        1 [    82.607229,   317.686743 ] [   121.770124,   185.061389 ]         89.4        179.1        0
  25705-  26105 SGRA         AP-H201-F102    18661        1 [    84.770877,   314.133463 ] [   193.704310,   257.180002 ]         92.8        180.0        0
  26118-  26267 SGRA         AP-H201-F102    18661        1 [    87.795981,   316.173915 ] [   265.675392,   284.362789 ]         88.5          0.4        0
  26268-  26268 SGRA         AP-H201-F102    18661        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.4        0
  26269-  26269 SGRA         AP-H201-F102    18661        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.4        0
  26270-  26270 SGRA         AP-H201-F102    18661        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.4        0
  26271-  26271 SGRA         AP-H201-F102    18661        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.4        0
  26272-  26272 SGRA         AP-H201-F102    18661        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.4        0
  26273-  26273 SGRA         AP-H201-F102    18661        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.4        0
  26274-  26274 SGRA         AP-H201-F102    18661        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.4        0
  26275-  26275 SGRA         AP-H201-F102    18661        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.4        0
  26309-  26708 SGRA         AP-H201-F102    18672        1 [    83.998014,   316.464009 ] [   219.571615,   283.403831 ]         88.1        177.9        0
  26721-  27124 SGRA         AP-H201-F102    18672        1 [    81.525603,   318.262200 ] [   291.444329,   355.251957 ]         81.4        179.2        0
  27136-  27538 SGRA         AP-H201-F102    18672        1 [    82.053995,   318.080306 ] [   363.058863,   427.198413 ]         92.8          2.0        0
  27551-  27704 SGRA         AP-H201-F102    18672        1 [    81.118497,   318.557000 ] [   435.189734,   454.934445 ]         94.4        178.5        0
  27787-  28190 SGRA         AP-H201-F102    19001        1 [    82.830874,   318.776305 ] [   389.958880,   453.360770 ]         91.3        179.8        0
  28203-  28602 SGRA         AP-H201-F102    19001        1 [    83.535800,   316.801263 ] [   462.089752,   525.319545 ]         68.7        179.9        0
  28614-  29016 SGRA         AP-H201-F102    19001        1 [    81.836983,   318.757431 ] [   534.073115,   597.241437 ]         82.6        179.6        0
  29029-  29178 SGRA         AP-H201-F102    19001        1 [    86.066519,   314.292809 ] [   606.044184,   624.288986 ]         80.4        179.7        0
  29191-  29192 SGRA         AP-H201-F102    19004        1 [    -1.123845,    -1.123845 ] [     0.302044,     0.302044 ]          0.3          0.0        0
  29193-  29194 SGRA         AP-H201-F102    19005        1 [    -0.091646,    -0.091646 ] [     0.179100,     0.179100 ]        173.2          0.0        0
  29195-  29196 SGRA         AP-H201-F102    19006        1 [    -0.091646,    -0.091646 ] [     0.080746,     0.080746 ]         90.0          0.0        0
  29197-  29198 SGRA         AP-H201-F102    19007        1 [     0.080387,     0.080387 ] [     0.056157,     0.056157 ]        171.9          0.0        0
  29223-  29622 SGRA         AP-H201-F102    19009        1 [    83.876271,   315.919432 ] [   389.971174,   453.545185 ]         82.3        179.7        0
  29635-  30036 SGRA         AP-H201-F102    19009        1 [    81.993496,   316.613726 ] [   461.954514,   525.258073 ]         88.1        180.0        0
  30048-  30448 SGRA         AP-H201-F102    19009        1 [    82.173601,   315.868862 ] [   534.073115,   597.241437 ]         84.7          0.5        0
  30461-  30612 SGRA         AP-H201-F102    19009        1 [    81.069422,   311.378186 ] [   606.019596,   624.239808 ]         83.8          0.1        0
  30646-  31045 SGRA         AP-H201-F102    19015        1 [   185.827252,   417.183232 ] [   220.100271,   283.305476 ]         74.5        179.8        0
  31058-  31461 SGRA         AP-H201-F102    19015        1 [   181.902956,   415.886227 ] [   292.046752,   355.276545 ]         77.2        179.2        0
  31473-  31875 SGRA         AP-H201-F102    19015        1 [   182.368520,   418.032934 ] [   364.066999,   427.284474 ]         81.7        179.9        0
  31888-  32037 SGRA         AP-H201-F102    19015        1 [   186.614738,   418.007241 ] [   436.038044,   454.307434 ]         81.4          0.8        0
  32038-  32038 SGRA         AP-H201-F102    19015        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.8        0
  32039-  32039 SGRA         AP-H201-F102    19015        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.8        0
  32040-  32040 SGRA         AP-H201-F102    19015        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.8        0
  32041-  32041 SGRA         AP-H201-F102    19015        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.8        0
  32042-  32042 SGRA         AP-H201-F102    19015        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.8        0
  32043-  32043 SGRA         AP-H201-F102    19015        1 [          inf,         -inf ] [          inf,         -inf ]          0.0          0.8        0
  32095-  32194 SGRA         AP-H201-F102    19045        1 [  -111.707687,   116.337130 ] [  -120.121025,  -111.010919 ]         91.1          0.2        0
  32207-  32208 SGRA         AP-H201-F102    19048        1 [    -0.005630,    -0.005630 ] [    -0.079081,    -0.079081 ]        179.9          0.0        0
  32233-  32632 SGRA         AP-H201-F102    19050        1 [  -116.958799,   117.472051 ] [  -120.133320,   -57.026464 ]         81.7          0.2        0
  32645-  32694 SGRA         AP-H201-F102    19050        1 [  -104.502170,   111.543370 ] [   -48.100776,   -48.014715 ]         66.7        179.8        0
  32695-  32696 SGRA         AP-H201-F102    19052        1 [    -0.005630,    -0.005630 ] [    -0.054492,    -0.054492 ]        156.7          0.0        0
  32721-  32920 SGRA         AP-H201-F102    19054        1 [  -115.496865,   111.779700 ] [  -120.121025,   -93.011999 ]         84.2          0.1        0
  32945-  33346 SGRA         AP-H201-F102    19056        1 [   181.597446,   416.339629 ] [   389.921997,   453.188649 ]         86.6        179.6        0
  33359-  33758 SGRA         AP-H201-F102    19056        1 [   182.588558,   416.505987 ] [   461.917631,   525.135130 ]         75.0          0.1        0
  33770-  34170 SGRA         AP-H201-F102    19056        1 [   185.906145,   416.844609 ] [   533.913289,   597.229142 ]         73.9          1.2        0
  34183-  34332 SGRA         AP-H201-F102    19056        1 [   186.957971,   412.358184 ] [   605.884358,   624.239808 ]         76.6          1.1        0
  34342-  34343 SGRA         AP-H201-F102    19060        1 [    -0.005630,    -0.005630 ] [    -0.029903,    -0.029903 ]         90.0          0.0        0
  34368-  34771 SGRA         AP-H201-F102    19062        1 [   181.447669,   418.185797 ] [   559.842053,   623.207084 ]         90.9          0.2        0
  34784-  35183 SGRA         AP-H201-F102    19062        1 [   185.419978,   417.019660 ] [   631.788534,   695.202742 ]         77.3        179.7        0
  35195-  35595 SGRA         AP-H201-F102    19062        1 [   182.896516,   413.672574 ] [   703.759603,   767.124634 ]         59.6        179.7        0
  35608-  35757 SGRA         AP-H201-F102    19062        1 [   185.318778,   413.645872 ] [   775.853616,   794.221360 ]         77.9        179.7        0
  35798-  36147 SGRA         AP-H201-F102    19077        1 [   282.258344,   513.349948 ] [   389.835936,   444.361313 ]         81.2          0.7        0
  36181-  36580 SGRA         AP-H201-F102    35127        1 [   482.233548,   717.001760 ] [   730.303084,   794.430364 ]         90.4        175.1        0
  36593-  36994 SGRA         AP-H201-F102    35127        1 [   481.871441,   716.362791 ] [   802.126621,   866.155595 ]         96.7        179.5        0
  37006-  37408 SGRA         AP-H201-F102    35127        1 [   479.164189,   719.068698 ] [   873.052720,   938.249607 ]         98.9        178.3        0
  37421-  37570 SGRA         AP-H201-F102    35127        1 [   490.508168,   711.173282 ] [   945.736861,   965.936462 ]        114.3        178.9        0
  37595-  37994 SGRA         AP-H201-F102    35129        1 [   483.878252,   716.497068 ] [   899.854382,   964.670145 ]        107.9        174.8        0
  38048-  38447 SGRA         AP-H201-F102    35139        1 [   483.917633,   715.084227 ] [   900.358450,   965.112741 ]         87.9         10.4        0
  38460-  38859 SGRA         AP-H201-F102    35139        1 [   483.751755,   717.808000 ] [   968.481391,  1038.214890 ]         81.8        179.1        0
  38871-  39273 SGRA         AP-H201-F102    35139        1 [   481.474277,   716.462826 ] [  1041.276181,  1112.177642 ]         72.0          3.0        0
  39286-  39435 SGRA         AP-H201-F102    35139        1 [   483.136798,   711.439820 ] [  1113.333310,  1135.192648 ]         72.0          1.2        0
  39460-  39861 SGRA         AP-H201-F102    35141        1 [   481.784180,   718.081165 ] [  1069.848228,  1134.245984 ]         82.4          2.5        0
  39874-  40273 SGRA         AP-H201-F102    35141        1 [   485.155039,   716.199218 ] [  1141.856180,  1207.876789 ]         85.0        179.6        0
  40285-  40687 SGRA         AP-H201-F102    35141        1 [   481.646061,   717.180893 ] [  1214.183786,  1278.089768 ]         86.5          1.3        0
  40700-  40849 SGRA         AP-H201-F102    35141        1 [   489.914630,   714.177760 ] [  1286.302387,  1305.229524 ]         87.5          4.0        0
  40899-  41298 SGRA         AP-H201-F102    35149        1 [   586.732369,   812.254901 ] [   900.284684,   964.030839 ]         82.6        178.5        0
  41311-  41712 SGRA         AP-H201-F102    35149        1 [   584.459549,   818.189513 ] [   972.464757,  1036.112558 ]         77.0          0.5        0
  41724-  42124 SGRA         AP-H201-F102    35149        1 [   583.908993,   815.123132 ] [  1044.534181,  1108.009861 ]         79.4          2.1        0
  42137-  42288 SGRA         AP-H201-F102    35149        1 [   582.353807,   818.423970 ] [  1116.370013,  1135.008233 ]         81.7        179.8        0
  42339-  42742 SGRA         AP-H201-F102    20045        1 [    51.967769,   288.261656 ] [  -520.019051,  -456.703198 ]         65.0          0.1        0
  42755-  43154 SGRA         AP-H201-F102    20045        1 [    53.003855,   287.070762 ] [  -448.527461,  -384.646044 ]         83.2          0.1        0
  43166-  43568 SGRA         AP-H201-F102    20045        1 [    52.506229,   288.287733 ] [  -376.076888,  -312.736446 ]         89.3        179.7        0
  43581-  43730 SGRA         AP-H201-F102    20045        1 [    57.149972,   283.286722 ] [  -304.056642,  -285.762663 ]         92.5          0.1        0
  43743-  44142 SGRA         AP-H201-F102    20046        1 [   282.947307,   516.450523 ] [   390.167884,   453.557479 ]         81.3        179.1        0
  44155-  44556 SGRA         AP-H201-F102    20046        1 [   282.743466,   518.653371 ] [   462.200401,   525.516254 ]         84.5          0.7        0
  44568-  44968 SGRA         AP-H201-F102    20046        1 [   282.553072,   518.038894 ] [   534.159176,   597.475029 ]         82.0        180.0        0
  44981-  45130 SGRA         AP-H201-F102    20046        1 [   286.470932,   515.812466 ] [   606.179422,   624.424224 ]         75.4          0.1        0
